Image Compression Statistics:
Name: image_0, Original Size: 472 bytes, WebP Size: 550 bytes, Compressed Size: 500 bytes
Name: image_1, Original Size: 502 bytes, WebP Size: 586 bytes, Compressed Size: 548 bytes
Name: image_2, Original Size: 423 bytes, WebP Size: 492 bytes, Compressed Size: 450 bytes
Name: image_3, Original Size: 344 bytes, WebP Size: 402 bytes, Compressed Size: 370 bytes
Name: image_4, Original Size: 502 bytes, WebP Size: 586 bytes, Compressed Size: 548 bytes
Name: image_5, Original Size: 434 bytes, WebP Size: 516 bytes, Compressed Size: 470 bytes
Name: image_6, Original Size: 264 bytes, WebP Size: 242 bytes, Compressed Size: 228 bytes
Name: image_7, Original Size: 472 bytes, WebP Size: 550 bytes, Compressed Size: 500 bytes
Name: image_8, Original Size: 496 bytes, WebP Size: 586 bytes, Compressed Size: 534 bytes
Name: image_9, Original Size: 502 bytes, WebP Size: 586 bytes, Compressed Size: 548 bytes
Name: image_10, Original Size: 496 bytes, WebP Size: 586 bytes, Compressed Size: 534 bytes
Name: image_11, Original Size: 1184 bytes, WebP Size: 1972 bytes, Compressed Size: 1744 bytes
Name: image_12, Original Size: 824 bytes, WebP Size: 1372 bytes, Compressed Size: 1200 bytes
Name: image_13, Original Size: 537 bytes, WebP Size: 1230 bytes, Compressed Size: 1062 bytes
Name: image_14, Original Size: 798 bytes, WebP Size: 1444 bytes, Compressed Size: 1264 bytes
Name: image_15, Original Size: 1124 bytes, WebP Size: 1952 bytes, Compressed Size: 1680 bytes
Name: image_16, Original Size: 3829 bytes, WebP Size: 3254 bytes, Compressed Size: 2828 bytes
Name: image_17, Original Size: 2449 bytes, WebP Size: 12332 bytes, Compressed Size: 11014 bytes
Name: image_18, Original Size: 1427 bytes, WebP Size: 1518 bytes, Compressed Size: 1308 bytes
Name: image_19, Original Size: 7987 bytes, WebP Size: 6726 bytes, Compressed Size: 5934 bytes
Name: image_20, Original Size: 8157 bytes, WebP Size: 7268 bytes, Compressed Size: 6430 bytes
Name: image_21, Original Size: 7571 bytes, WebP Size: 7696 bytes, Compressed Size: 6902 bytes
Name: image_22, Original Size: 1511 bytes, WebP Size: 1506 bytes, Compressed Size: 1338 bytes
Name: image_23, Original Size: 7856 bytes, WebP Size: 7004 bytes, Compressed Size: 6192 bytes
Name: image_24, Original Size: 7948 bytes, WebP Size: 6226 bytes, Compressed Size: 5418 bytes
Name: image_25, Original Size: 7395 bytes, WebP Size: 7064 bytes, Compressed Size: 6108 bytes
Name: image_26, Original Size: 7442 bytes, WebP Size: 6912 bytes, Compressed Size: 6132 bytes
Name: image_27, Original Size: 1459 bytes, WebP Size: 1402 bytes, Compressed Size: 1240 bytes
Name: image_28, Original Size: 7888 bytes, WebP Size: 7080 bytes, Compressed Size: 6232 bytes
Name: image_29, Original Size: 7700 bytes, WebP Size: 7502 bytes, Compressed Size: 6684 bytes
Name: image_30, Original Size: 7803 bytes, WebP Size: 6864 bytes, Compressed Size: 6060 bytes
Name: image_31, Original Size: 7614 bytes, WebP Size: 7620 bytes, Compressed Size: 6734 bytes
Name: image_32, Original Size: 1459 bytes, WebP Size: 1402 bytes, Compressed Size: 1240 bytes
Name: image_33, Original Size: 7803 bytes, WebP Size: 6864 bytes, Compressed Size: 6060 bytes
Name: image_34, Original Size: 7616 bytes, WebP Size: 7250 bytes, Compressed Size: 6440 bytes
Name: image_35, Original Size: 7711 bytes, WebP Size: 7776 bytes, Compressed Size: 6810 bytes
Name: image_36, Original Size: 7948 bytes, WebP Size: 6226 bytes, Compressed Size: 5418 bytes
Name: image_37, Original Size: 1511 bytes, WebP Size: 1506 bytes, Compressed Size: 1338 bytes
Name: image_38, Original Size: 7776 bytes, WebP Size: 7548 bytes, Compressed Size: 6648 bytes
Name: image_39, Original Size: 7906 bytes, WebP Size: 7136 bytes, Compressed Size: 6296 bytes
Name: image_40, Original Size: 7239 bytes, WebP Size: 6792 bytes, Compressed Size: 5852 bytes
Name: image_41, Original Size: 7888 bytes, WebP Size: 7080 bytes, Compressed Size: 6232 bytes
Name: image_42, Original Size: 1511 bytes, WebP Size: 1506 bytes, Compressed Size: 1338 bytes
Name: image_43, Original Size: 7638 bytes, WebP Size: 7864 bytes, Compressed Size: 6938 bytes
Name: image_44, Original Size: 7722 bytes, WebP Size: 6822 bytes, Compressed Size: 6062 bytes
Name: image_45, Original Size: 7732 bytes, WebP Size: 7312 bytes, Compressed Size: 6448 bytes
Name: image_46, Original Size: 1427 bytes, WebP Size: 1518 bytes, Compressed Size: 1308 bytes
Name: image_47, Original Size: 7874 bytes, WebP Size: 7322 bytes, Compressed Size: 6482 bytes
Name: image_48, Original Size: 8086 bytes, WebP Size: 7028 bytes, Compressed Size: 6264 bytes
Name: image_49, Original Size: 7732 bytes, WebP Size: 7248 bytes, Compressed Size: 6442 bytes
Name: image_50, Original Size: 7239 bytes, WebP Size: 6792 bytes, Compressed Size: 5852 bytes
Name: image_51, Original Size: 1459 bytes, WebP Size: 1402 bytes, Compressed Size: 1240 bytes
Name: image_52, Original Size: 7924 bytes, WebP Size: 7688 bytes, Compressed Size: 6792 bytes
Name: image_53, Original Size: 7526 bytes, WebP Size: 6534 bytes, Compressed Size: 5726 bytes
Name: image_54, Original Size: 7497 bytes, WebP Size: 7518 bytes, Compressed Size: 6580 bytes
Name: image_55, Original Size: 8090 bytes, WebP Size: 6700 bytes, Compressed Size: 5866 bytes
Name: image_56, Original Size: 7897 bytes, WebP Size: 7192 bytes, Compressed Size: 6216 bytes
Name: image_57, Original Size: 1459 bytes, WebP Size: 1402 bytes, Compressed Size: 1240 bytes
Name: image_58, Original Size: 7758 bytes, WebP Size: 7724 bytes, Compressed Size: 6762 bytes
Name: image_59, Original Size: 7395 bytes, WebP Size: 7064 bytes, Compressed Size: 6108 bytes
Name: image_60, Original Size: 7906 bytes, WebP Size: 7136 bytes, Compressed Size: 6296 bytes
Name: image_61, Original Size: 7790 bytes, WebP Size: 7066 bytes, Compressed Size: 6108 bytes
Name: image_62, Original Size: 1459 bytes, WebP Size: 1402 bytes, Compressed Size: 1240 bytes
Name: image_63, Original Size: 7714 bytes, WebP Size: 7084 bytes, Compressed Size: 6144 bytes
Name: image_64, Original Size: 7082 bytes, WebP Size: 7036 bytes, Compressed Size: 6128 bytes
Name: image_65, Original Size: 7874 bytes, WebP Size: 7322 bytes, Compressed Size: 6482 bytes
Name: image_66, Original Size: 7526 bytes, WebP Size: 6534 bytes, Compressed Size: 5726 bytes
Name: image_67, Original Size: 1459 bytes, WebP Size: 1402 bytes, Compressed Size: 1240 bytes
Name: image_68, Original Size: 8090 bytes, WebP Size: 6700 bytes, Compressed Size: 5866 bytes
Name: image_69, Original Size: 7897 bytes, WebP Size: 7192 bytes, Compressed Size: 6216 bytes
Name: image_70, Original Size: 7706 bytes, WebP Size: 7872 bytes, Compressed Size: 6982 bytes
Name: image_71, Original Size: 7437 bytes, WebP Size: 7052 bytes, Compressed Size: 6256 bytes
Name: image_72, Original Size: 1511 bytes, WebP Size: 1506 bytes, Compressed Size: 1338 bytes
Name: image_73, Original Size: 7437 bytes, WebP Size: 7052 bytes, Compressed Size: 6256 bytes
Name: image_74, Original Size: 7700 bytes, WebP Size: 7502 bytes, Compressed Size: 6684 bytes
Name: image_75, Original Size: 7874 bytes, WebP Size: 7322 bytes, Compressed Size: 6482 bytes
Name: image_76, Original Size: 7696 bytes, WebP Size: 6624 bytes, Compressed Size: 5682 bytes
Name: image_77, Original Size: 7638 bytes, WebP Size: 7864 bytes, Compressed Size: 6938 bytes
Name: image_78, Original Size: 1459 bytes, WebP Size: 1402 bytes, Compressed Size: 1240 bytes
Name: image_79, Original Size: 7987 bytes, WebP Size: 6726 bytes, Compressed Size: 5934 bytes
Name: image_80, Original Size: 7784 bytes, WebP Size: 7914 bytes, Compressed Size: 6970 bytes
Name: image_81, Original Size: 8015 bytes, WebP Size: 7492 bytes, Compressed Size: 6628 bytes
Name: image_82, Original Size: 7711 bytes, WebP Size: 7776 bytes, Compressed Size: 6810 bytes
Name: image_83, Original Size: 1427 bytes, WebP Size: 1518 bytes, Compressed Size: 1308 bytes
Name: image_84, Original Size: 7924 bytes, WebP Size: 7688 bytes, Compressed Size: 6792 bytes
Name: image_85, Original Size: 7497 bytes, WebP Size: 7518 bytes, Compressed Size: 6580 bytes
Name: image_86, Original Size: 7714 bytes, WebP Size: 7084 bytes, Compressed Size: 6144 bytes
Name: image_87, Original Size: 1511 bytes, WebP Size: 1506 bytes, Compressed Size: 1338 bytes
Name: image_88, Original Size: 7790 bytes, WebP Size: 7066 bytes, Compressed Size: 6108 bytes
Name: image_89, Original Size: 7711 bytes, WebP Size: 7404 bytes, Compressed Size: 6508 bytes
Name: image_90, Original Size: 8104 bytes, WebP Size: 7224 bytes, Compressed Size: 6404 bytes
Name: image_91, Original Size: 7524 bytes, WebP Size: 6776 bytes, Compressed Size: 6024 bytes
Name: image_92, Original Size: 7758 bytes, WebP Size: 7724 bytes, Compressed Size: 6762 bytes
Name: image_93, Original Size: 8157 bytes, WebP Size: 7268 bytes, Compressed Size: 6430 bytes
Name: image_94, Original Size: 1511 bytes, WebP Size: 1506 bytes, Compressed Size: 1338 bytes
